# name,planet_status,mass,radius,orbital_period,discovered,updated,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
K02851.02,Candidate,,0.099,1.239355549,2017,2016-12-28,,15.196,14.068,13.67,13.556,,0.1,0.923,0.906,,,5485,,
K02853.01,Candidate,,0.102,1.407019914,2017,2016-12-28,,14.642,13.507,13.033,13.001,,0.07,0.832,0.83,,,5179,,
K02855.01,Candidate,,0.087,1.400752463,2017,2016-12-28,,14.205,13.14,12.734,12.706,,-0.16,0.863,0.791,,,5450,,
K02859.03,Candidate,,0.051,4.28884513,2017,2016-12-28,,13.606,12.536,12.123,12.052,,-0.68,0.68,0.721,,,5374,,
K02859.04,Candidate,,0.051,2.90513091,2017,2016-12-28,,13.606,12.536,12.123,12.052,,-0.68,0.68,0.721,,,5374,,
K02859.05,Candidate,,0.057,5.43099314,2017,2016-12-28,,13.606,12.536,12.123,12.052,,-0.68,0.68,0.721,,,5374,,
K02860.01,Candidate,,0.288,103.427188,2017,2016-12-28,,15.361,14.405,14.085,14.097,,-0.12,1.086,1.02,,,6194,,
K02862.01,Candidate,,0.16,24.575302,2017,2016-12-28,,15.286,13.656,12.976,12.762,,-0.1,0.505,0.494,,,3759,,
K02867.02,Candidate,,0.03,18.938551,2017,2016-12-28,,12.574,11.072,10.576,10.475,,0.22,0.811,0.778,,,4865,,
K02869.02,Candidate,,0.193,274.743032,2017,2016-12-28,,13.579,12.66,12.459,12.362,,-0.1,1.073,1.207,,,6277,,
K02871.02,Candidate,,0.085,5.36374214,2017,2016-12-28,,14.523,13.527,13.153,13.101,776.92,-0.08,0.95,0.89,,,5356,,
K02882.01,Candidate,,0.242,75.8580337,2017,2016-12-28,,14.966,13.685,13.066,12.971,,-0.3,0.642,0.614,,,4467,,
K02890.01,Candidate,,0.104,8.98825111,2017,2016-12-28,,15.042,14.011,13.691,13.611,,-0.2,0.993,0.906,,,5984,,
K02897.01,Candidate,,2.353,0.584310405,2017,2016-12-28,,15.112,14.116,13.752,13.748,,-0.08,0.977,0.88,,,5783,,
K02899.01,Candidate,,0.144,5.77207901,2017,2016-12-28,,15.457,14.444,14.049,14.085,,0.07,0.977,0.86,,,5591,,
K02900.01,Candidate,,0.208,46.1511567,2017,2016-12-28,,14.951,13.796,13.305,13.23,,-0.32,0.723,0.769,,,5204,,
K02906.02,Candidate,,0.145,145.888689,2017,2016-12-28,,13.545,12.65,12.364,12.319,,-0.54,0.932,1.194,,,6279,,
K02914.01,Candidate,,0.137,21.1181538,2017,2016-12-28,,12.076,11.239,11.041,11.006,,-0.14,1.179,1.525,,,6469,,
K02915.01,Candidate,,0.0955,5.06093645,2017,2016-12-28,,,12.33,11.986,11.956,,-0.1,0.993,1.236,,,5941,,
K02916.01,Candidate,,0.085,0.306937507,2017,2016-12-28,,14.107,12.936,12.503,12.402,,-0.18,0.762,0.741,,,5088,,
K02919.01,Candidate,,2.068,2.522588632,2017,2016-12-28,,14.572,13.526,13.191,13.109,,0.07,0.977,0.86,,,5591,,
K02921.01,Candidate,,0.133,16.6146255,2017,2016-12-28,,15.179,14.042,13.658,13.495,,-0.1,0.825,0.8,,,5295,,
K02923.01,Candidate,,0.108,5.83892283,2017,2016-12-28,,14.356,13.232,12.811,12.731,,-0.14,0.854,0.762,,,5274,,
K02925.01,Candidate,,2.75,0.71653139,2017,2016-12-28,,13.218,12.151,11.801,11.729,,-0.06,0.863,1.03,,,5552,,
K02927.01,Candidate,,0.213,24.4360041,2017,2016-12-28,,15.655,14.769,14.33,14.308,,-0.08,1.096,1.035,,,6197,,
K02933.01,Candidate,,5.96,119.0839741,2017,2016-12-28,,15.4,14.05,13.47,13.328,,-0.2,0.646,0.63,,,4412,,
K02935.01,Candidate,,0.137,27.8800341,2017,2016-12-28,,13.454,12.589,12.36,12.367,,-0.36,1.048,1.055,,,6434,,
K02942.01,Candidate,,0.194,13.84303063,2017,2016-12-28,,15.242,14.229,13.868,13.705,,-0.22,0.915,0.833,,,5735,,
K02942.02,Candidate,,0.202,24.2762373,2017,2016-12-28,,15.242,14.229,13.868,13.705,,-0.22,0.915,0.833,,,5735,,
K02945.01,Candidate,,0.257,19.94752664,2017,2016-12-28,,15.775,14.8,14.334,14.298,,-0.14,0.945,0.854,,,5751,,
K02948.01,Candidate,,0.101,11.39170568,2017,2016-12-28,,11.706,10.703,10.388,10.322,,0.14,1.074,1.657,,,5675,,
K02949.01,Candidate,,0.122,10.1749173,2017,2016-12-28,,13.135,12.222,11.973,11.903,,-0.06,1.187,1.782,,,6197,,
K02949.02,Candidate,,0.101,3.75032103,2017,2016-12-28,,13.135,12.222,11.973,11.903,,-0.06,1.187,1.782,,,6197,,
K02957.01,Candidate,,0.06,4.64490693,2017,2016-12-28,,14.15,12.971,12.421,12.321,,-0.46,0.659,0.654,,,4871,,
K02958.01,Candidate,,0.173,31.6083858,2017,2016-12-28,,14.592,13.708,13.45,13.391,,-0.24,1.083,1.033,,,6341,,
K02959.01,Candidate,,2.7,16.1560143,2017,2016-12-28,,15.338,13.981,13.402,13.25,,-1.06,0.528,0.53,,,4504,,
K02962.01,Candidate,,0.087,2.17291192,2017,2016-12-28,,14.044,13.184,12.913,12.832,,-0.02,1.109,1.045,,,6164,,
K02963.02,Candidate,,0.098,7.35099992,2017,2016-12-28,,14.365,13.492,13.194,13.173,,-0.14,1.088,1.031,,,6241,,
K02967.01,Candidate,,0.231,37.3037619,2017,2016-12-28,,15.263,14.197,13.791,13.731,,-0.3,0.853,0.817,,,5641,,
K02968.01,Candidate,,0.067,10.16430077,2017,2016-12-28,,,10.543,10.349,10.293,,-0.44,0.997,1.198,,,6387,,
K02970.01,Candidate,,0.075,4.82052932,2017,2016-12-28,,12.727,11.851,11.616,11.566,,-0.18,1.164,1.31,,,6483,,
K02971.01,Candidate,,0.076,6.0960013,2017,2016-12-28,,12.586,11.774,11.512,11.438,,-0.2,1.038,1.028,,,6234,,
K02971.02,Candidate,,0.089,31.9536205,2017,2016-12-28,,12.586,11.774,11.512,11.438,,-0.2,1.038,1.028,,,6234,,
K02972.01,Candidate,,0.149,13.2512227,2017,2016-12-28,,14.873,13.845,13.543,13.464,,-0.06,1.014,0.976,,,5937,,
K02976.01,Candidate,,0.267,21.61319434,2017,2016-12-28,,15.595,14.517,14.077,13.93,,-0.78,0.69,0.631,,,5254,,
K02982.01,Candidate,,0.117,4.022309329,2017,2016-12-28,,14.021,12.972,12.648,12.538,,-0.14,0.878,0.818,,,5516,,
K02984.01,Candidate,,0.091,11.4554284,2017,2016-12-28,,12.873,11.972,11.718,11.637,,-0.28,0.947,1.2,,,6015,,
K02989.01,Candidate,,0.132,6.3312784,2017,2016-12-28,,15.14,14.065,13.567,13.563,,-0.22,0.849,0.758,,,5376,,
K02992.01,Candidate,,0.298,82.6604944,2017,2016-12-28,,15.421,13.906,13.206,13.039,,-0.1,0.572,0.55,,,3952,,
K03004.02,Candidate,,0.169,7.03967764,2017,2016-12-28,,14.739,13.848,13.525,13.489,,0.06,1.101,1.122,,,6086,,
K03007.01,Candidate,,0.11,11.19164311,2017,2016-12-28,,14.326,13.361,13.049,12.917,,-0.08,1.008,0.916,,,5896,,
K03013.01,Candidate,,0.121,3.765613537,2017,2016-12-28,,14.479,13.501,13.155,13.132,,-0.14,0.945,0.854,,,5751,,
K03017.01,Candidate,,0.059,2.46288711,2017,2016-12-28,,13.114,12.144,11.826,11.757,,-0.44,0.848,0.967,,,5893,,
K03019.01,Candidate,,0.14,4.17938195,2017,2016-12-28,,14.659,13.586,13.206,13.104,,0.06,0.934,1.155,,,5632,,
K03020.01,Candidate,,0.103,10.91917313,2017,2016-12-28,,13.357,12.408,12.088,12.019,,-0.36,0.965,1.181,,,6174,,
K03022.01,Candidate,,0.112,2.76263462,2017,2016-12-28,,15.167,14.078,13.761,13.648,,0,0.999,0.901,,,5772,,
K03022.02,Candidate,,0.11,5.05366499,2017,2016-12-28,,15.167,14.078,13.761,13.648,,0,0.999,0.901,,,5772,,
K03027.01,Candidate,,0.126,6.0703203,2017,2016-12-28,,15.165,13.992,13.47,13.441,,0.1,0.846,0.78,,,5076,,
K03028.02,Candidate,,0.188,458.16754,2017,2016-12-28,,15.717,14.626,14.181,14.161,,-0.12,0.895,0.816,,,5536,,
K03029.01,Candidate,,0.173,18.9762163,2017,2016-12-28,,14.666,13.599,13.162,13.149,,0.02,0.87,0.966,,,5472,,
K03029.02,Candidate,,0.131,6.34728429,2017,2016-12-28,,14.666,13.599,13.162,13.149,,0.02,0.87,0.966,,,5472,,
K03031.01,Candidate,,0.109,7.64807008,2017,2016-12-28,,15.025,13.995,13.59,13.655,,-0.04,0.952,0.857,,,5653,,
K03034.01,Candidate,,0.171,31.020851,2017,2016-12-28,,14.981,13.452,12.774,12.609,,-0.2,0.541,0.523,,,3903,,
K03035.01,Candidate,,0.151,21.3419702,2017,2016-12-28,,13.695,12.738,12.492,12.447,,-0.3,1.042,1.314,,,6324,,
K03037.01,Candidate,,0.12,5.46542874,2017,2016-12-28,,15.612,14.459,14.116,13.951,,-0.14,0.908,0.827,,,5614,,
K03040.01,Candidate,,0.147,4.80999283,2017,2016-12-28,,15.464,14.545,14.084,13.987,,-0.12,1.021,0.934,,,5988,,
K03041.01,Candidate,,0.108,5.08287001,2017,2016-12-28,,14.026,13.114,12.771,12.712,,-0.22,1.011,1.083,,,6217,,
K03042.01,Candidate,,0.174,31.0255794,2017,2016-12-28,,15.751,14.835,14.506,14.479,,-0.12,1.048,0.969,,,6075,,
K03043.01,Candidate,,0.073,3.08941419,2017,2016-12-28,,14.638,13.684,13.31,13.278,,-0.32,0.945,0.856,,,5959,,
K03043.02,Candidate,,0.065,7.2929891,2017,2016-12-28,,14.638,13.684,13.31,13.278,,-0.32,0.945,0.856,,,5959,,
K03045.01,Candidate,,0.239,44.8698382,2017,2016-12-28,,15.559,14.548,14.211,14.165,,-0.1,1.07,0.996,,,6122,,
K03050.01,Candidate,,0.102,1.242640863,2017,2016-12-28,,15.073,14.046,13.571,13.55,,-0.06,0.918,0.819,,,5504,,
K03051.01,Candidate,,0.129,11.682369,2017,2016-12-28,,15.079,14.125,13.745,13.666,,-0.36,0.971,0.889,,,6089,,
K03052.01,Candidate,,0.082,10.12960534,2017,2016-12-28,,13.325,12.262,11.849,11.767,,-0.12,0.821,0.946,,,5466,,
K03052.02,Candidate,,0.081,15.611223,2017,2016-12-28,,13.325,12.262,11.849,11.767,,-0.12,0.821,0.946,,,5466,,
K03053.02,Candidate,,0.13,9.4768043,2017,2016-12-28,,15.529,14.507,14.172,14.081,,-0.1,1.006,0.914,,,5911,,
K03061.01,Candidate,,7.897,7.32849062,2017,2016-12-28,,13.997,12.852,12.359,12.232,,0.07,0.797,0.853,,,5120,,
K03061.02,Candidate,,0.121,77.919533,2017,2016-12-28,,13.997,12.852,12.359,12.232,,0.07,0.797,0.853,,,5120,,
K03065.01,Candidate,,0.0937,0.896384959,2017,2016-12-28,,14.383,13.353,13.025,12.99,,-0.52,0.824,0.843,,,5837,,
K03066.01,Candidate,,0.21,24.2204586,2017,2016-12-28,,15.585,14.437,14.012,13.714,,0.04,0.857,0.78,,,5172,,
K03068.01,Candidate,,0.086,3.91679363,2017,2016-12-28,,14.641,13.477,12.907,12.831,,-0.2,0.763,0.689,,,4886,,
K03068.02,Candidate,,0.072,6.65169435,2017,2016-12-28,,14.641,13.477,12.907,12.831,,-0.2,0.763,0.689,,,4886,,
K03069.01,Candidate,,0.172,43.1032912,2017,2016-12-28,,14.656,13.689,13.277,13.188,,0.18,1.017,1.097,,,5741,,
K03072.01,Candidate,,0.236,24.3366659,2017,2016-12-28,,15.268,14.078,13.57,13.537,,-0.12,0.758,0.806,,,5141,,
K03073.01,Candidate,,0.112,7.40986806,2017,2016-12-28,,14.192,13.204,12.794,12.679,,0.07,0.944,0.83,,,5463,,
K03075.01,Candidate,,0.083,4.76559135,2017,2016-12-28,,12.863,11.989,11.603,11.532,,-0.28,0.837,1.125,,,5702,,
K03077.01,Candidate,,0.157,4.09577947,2017,2016-12-28,,15.567,14.246,13.735,13.697,,0.07,0.759,0.742,,,4791,,
K03077.02,Candidate,,0.14,7.55839292,2017,2016-12-28,,15.567,14.246,13.735,13.697,,0.07,0.759,0.742,,,4791,,
K03083.01,Candidate,,0.061,10.18316272,2017,2016-12-28,,12.675,11.74,11.449,11.401,,-0.06,1.028,0.938,,,5942,,
K03083.02,Candidate,,0.053,6.23219191,2017,2016-12-28,,12.675,11.74,11.449,11.401,,-0.06,1.028,0.938,,,5942,,
K03083.03,Candidate,,0.048,8.2942479,2017,2016-12-28,,12.675,11.74,11.449,11.401,,-0.06,1.028,0.938,,,5942,,
K03086.01,Candidate,,0.244,174.732103,2017,2016-12-28,,15.435,14.293,13.88,13.913,,-0.3,0.828,0.759,,,5463,,
K03088.01,Candidate,,0.124,3.48412534,2017,2016-12-28,,14.749,13.756,13.481,13.31,,-0.04,1.058,0.975,,,6018,,
K03088.02,Candidate,,0.171,67.8766605,2017,2016-12-28,,14.749,13.756,13.481,13.31,,-0.04,1.058,0.975,,,6018,,
K03089.01,Candidate,,0.121,0.85854531,2017,2016-12-28,,14.956,13.77,13.382,13.28,,0.06,0.843,0.864,,,5269,,
K03090.01,Candidate,,0.091,3.82222231,2017,2016-12-28,,15.066,13.463,12.79,12.677,,-0.1,0.534,0.53,,,3854,,
K03091.01,Candidate,,0.159,17.0675877,2017,2016-12-28,,15.206,14.315,14.049,13.98,,-0.32,1.065,1.012,,,6363,,
K03094.01,Candidate,,0.122,4.57699384,2017,2016-12-28,,15.128,13.523,12.922,12.752,,-0.1,0.526,0.497,,,3805,,
K03102.01,Candidate,,0.054,9.3210841,2017,2016-12-28,,15.398,13.864,13.207,13.104,,-0.8,0.376,0.35,,,3773,,
K03104.01,Candidate,,0.12,1.236865633,2017,2016-12-28,,15.133,14.04,13.683,13.566,,-0.06,0.92,0.878,,,5618,,
K03105.01,Candidate,,0.07,4.2123434,2017,2016-12-28,,14.975,13.849,13.36,13.262,,-0.44,0.698,0.7,,,5116,,
K03108.01,Candidate,,0.167,7.36272058,2017,2016-12-28,,14.736,13.806,13.475,13.41,,-0.12,0.987,0.894,,,5868,,
K03111.01,Candidate,,0.146,10.76798991,2017,2016-12-28,,12.659,11.691,11.433,11.353,,-0.06,1.206,1.984,,,6070,,
K03111.02,Candidate,,0.112,4.32849536,2017,2016-12-28,,12.659,11.691,11.433,11.353,,-0.06,1.206,1.984,,,6070,,
K03112.01,Candidate,,0.135,2.11889425,2017,2016-12-28,,15.636,14.581,14.135,14.085,,-0.18,0.868,0.794,,,5494,,
K03114.01,Candidate,,0.053,7.49134125,2017,2016-12-28,,12.127,11.32,11.051,10.964,,-0.36,0.976,0.976,,,6177,,
K03117.01,Candidate,,0.106,6.06671508,2017,2016-12-28,,12.937,11.958,11.576,11.508,,-0.14,0.915,1.344,,,5705,,
K03119.01,Candidate,,0.112,2.184435501,2017,2016-12-28,,16.196,14.377,13.838,13.539,,-0.1,0.266,0.277,,,3382,,
K03123.01,Candidate,,0.16,15.2311831,2017,2016-12-28,,14.835,13.877,13.615,13.507,,-0.16,1.063,0.992,,,6170,,
K03128.01,Candidate,,0.121,21.2360486,2017,2016-12-28,,13.196,12.236,11.995,11.9,,-0.16,1.03,1.281,,,6099,,
K03130.01,Candidate,,0.807,14.86386959,2017,2016-12-28,,13.465,12.268,11.809,11.726,,-0.16,0.752,0.8,,,5159,,
K03130.02,Candidate,,0.079,5.65243986,2017,2016-12-28,,13.465,12.268,11.809,11.726,,-0.16,0.752,0.8,,,5159,,
K03136.01,Candidate,,0.086,2.39162484,2017,2016-12-28,,15.399,14.223,13.649,13.558,,-0.42,0.663,0.685,,,4935,,
K03137.01,Candidate,,0.078,1.332039553,2017,2016-12-28,,15.421,14.379,13.961,13.825,,-0.28,0.823,0.741,,,5359,,
K03140.01,Candidate,,0.089,5.68882689,2017,2016-12-28,,15.019,13.523,12.886,12.775,,-0.02,0.636,0.639,,,4234,,
K03142.01,Candidate,,0.221,27.9431634,2017,2016-12-28,,15.07,14.318,14.013,13.951,,0.21,1.306,1.241,,,6449,,
K03145.01,Candidate,,0.14,4.53700111,2017,2016-12-28,,15.319,14.058,13.46,13.358,,-0.04,0.751,0.713,,,4812,,
K03145.02,Candidate,,0.103,0.977310396,2017,2016-12-28,,15.319,14.058,13.46,13.358,,-0.04,0.751,0.713,,,4812,,
K03156.01,Candidate,,0.426,0.761122372,2017,2016-12-28,,7.835,7.185,7.029,6.945,,-1.54,0.897,1.501,,,6911,,
K03156.04,Candidate,,2.999,94.2245418,2017,2016-12-28,,7.835,7.185,7.029,6.945,,-1.54,0.897,1.501,,,6911,,
K03161.01,Candidate,,7.194,6.09409446,2017,2016-12-28,,,8.913,8.779,8.753,,0.18,1.474,1.676,,,6790,,
K03165.01,Candidate,,0.0972,4.11755272,2017,2016-12-28,,10.221,9.445,9.239,9.191,,-0.2,1.33,1.85,,,6422,,
K03168.01,Candidate,,0.103,56.34811,2017,2016-12-28,,10.288,9.424,9.119,9.033,,-0.2,1.13,1.59,,,5968,,
K03179.01,Candidate,,0.129,5.99077497,2017,2016-12-28,,10.523,10.997,10.673,10.635,,-0.22,1.115,1.683,,,6237,,
K03184.01,Candidate,,0.087,7.5459119,2017,2016-12-28,,,10.118,9.858,9.792,,-0.28,1.173,2.193,,,6003,,
K03184.03,Candidate,,0.051,4.02024687,2017,2016-12-28,,,10.118,9.858,9.792,,-0.28,1.173,2.193,,,6003,,
K03190.01,Candidate,,0.065,8.95296799,2017,2016-12-28,,11.109,11.254,11,10.956,,-0.26,1.012,1.116,,,6280,,
K03193.01,Candidate,,2.139,32.6121746,2017,2016-12-28,,11.331,15.458,14.764,14.689,,,1,1,,,5780,,
K03194.01,Candidate,,1.318,10.81311864,2017,2016-12-28,,11.38,10.611,10.402,10.346,,0.02,1.302,1.53,,,6531,,
K03196.01,Candidate,,0.057,4.96064303,2017,2016-12-28,,11.405,10.547,10.335,10.276,,-0.06,1.21,1.392,,,6422,,
K03196.02,Candidate,,0.072,6.88298548,2017,2016-12-28,,11.405,10.547,10.335,10.276,,-0.06,1.21,1.392,,,6422,,
K03197.01,Candidate,,0.172,22.59921,2017,2016-12-28,,11.393,10.545,10.299,10.253,,-0.3,1.084,1.539,,,6335,,
K03203.01,Candidate,,0.189,96.8172233,2017,2016-12-28,,11.728,11.002,10.848,10.82,,-0.64,1.151,1.523,,,7095,,
K03204.01,Candidate,,0.14,0.572937573,2017,2016-12-28,,,11.844,11.738,11.7,,0.07,1.553,1.593,,,7338,,
K03206.01,Candidate,,0.128,15.1516864,2017,2016-12-28,,11.601,15.567,13.828,13.591,,,1,1,,,5780,,
K03207.01,Candidate,,0.235,0.954391636,2017,2016-12-28,,11.794,11.055,10.909,10.865,,0.02,1.62,2.128,,,7056,,
K03208.01,Candidate,,0.112,2.131661909,2017,2016-12-28,,11.784,11.046,10.717,10.661,,0.21,1.313,1.986,,,5884,,
K03209.01,Candidate,,0.117,11.91260013,2017,2016-12-28,,11.778,11.02,10.75,10.745,,-0.54,1.037,1.171,,,6603,,
K03213.01,Candidate,,0.261,14.1605995,2017,2016-12-28,,12.037,11.359,11.318,11.286,,0.07,2.385,3.746,,,8753,,
K03214.01,Candidate,,0.231,11.49499722,2017,2016-12-28,,11.809,10.865,10.617,10.521,,-0.1,1.502,3.132,,,6036,,
K03214.02,Candidate,,0.18,25.0898366,2017,2016-12-28,,11.809,10.865,10.617,10.521,,-0.1,1.502,3.132,,,6036,,
K03224.01,Candidate,,0.05,3.43862245,2017,2016-12-28,,11.962,10.883,10.517,10.462,,-0.2,0.847,0.779,,,5431,,
K03225.01,Candidate,,0.073,4.87543387,2017,2016-12-28,,11.966,10.947,10.552,10.501,,0.06,0.924,1.366,,,5511,,
K03232.01,Candidate,,0.166,6.05922662,2017,2016-12-28,,12.057,11.133,10.842,10.799,,0.1,1.091,1.474,,,5902,,
K03236.01,Candidate,,0.061,7.1304571,2017,2016-12-28,,12.183,11.319,11.081,11.047,,-0.18,1.124,1.128,,,6435,,
K03238.01,Candidate,,,58.34506902,2017,2016-12-28,,12.138,11.137,10.857,10.798,,,,,,,,,
K03244.01,Candidate,,1.039,214.7181473,2017,2016-12-28,,12.081,10.797,10.281,10.176,,-0.28,0.868,2.095,,,5033,,
K03248.01,Candidate,,0.058,6.91261747,2017,2016-12-28,,12.24,11.289,10.98,10.892,,-0.12,0.885,1.077,,,5680,,
K03258.01,Candidate,,0.175,40.3510178,2017,2016-12-28,,15.447,14.456,14.067,13.954,,-0.22,0.895,0.815,,,5658,,
K03259.01,Candidate,,0.195,72.9333382,2017,2016-12-28,,15.41,14.259,13.875,13.778,,-0.22,0.849,0.758,,,5376,,
K03263.01,Candidate,,0.615,76.87935073,2017,2016-12-28,,15.273,13.558,12.886,12.726,,-0.2,0.407,0.38,,,3587,,
K03264.01,Candidate,,0.123,13.0152127,2017,2016-12-28,,15.6,14.324,13.735,13.66,,-0.5,0.632,0.643,,,4794,,
K03267.01,Candidate,,0.16,14.19593863,2017,2016-12-28,,14.528,13.599,13.304,13.202,,0,1.113,1.11,,,6202,,
K03268.01,Candidate,,7.526,11.52480925,2017,2016-12-28,,15.33,14.237,13.856,13.711,,-0.16,0.862,0.892,,,5592,,
K03271.01,Candidate,,0.151,19.5489365,2017,2016-12-28,,15.461,14.386,13.914,13.908,,-0.54,0.776,0.729,,,5548,,
K03271.02,Candidate,,0.102,7.41842544,2017,2016-12-28,,15.461,14.386,13.914,13.908,,-0.54,0.776,0.729,,,5548,,
K03278.01,Candidate,,0.262,88.181186,2017,2016-12-28,,14.457,13.447,13.039,12.977,,0.07,0.944,0.83,,,5463,,
K03279.01,Candidate,,0.246,30.8277926,2017,2016-12-28,,15.556,14.53,14.186,14.212,,-0.04,1.047,0.96,,,5982,,
K03283.02,Candidate,,0.139,20.5719613,2017,2016-12-28,,14.986,13.752,13.226,13.138,,-0.08,0.786,0.721,,,4944,,
K03283.03,Candidate,,0.153,87.707513,2017,2016-12-28,,14.986,13.752,13.226,13.138,,-0.08,0.786,0.721,,,4944,,
K03301.01,Candidate,,0.099,20.7104915,2017,2016-12-28,,13.945,12.904,12.532,12.507,,-0.12,0.89,0.901,,,5631,,
K03307.01,Candidate,,0.141,10.50729529,2017,2016-12-28,,15.346,14.216,13.759,13.673,,-0.1,0.788,0.865,,,5290,,
K03309.01,Candidate,,0.545,71.05454653,2017,2016-12-28,,14.41,13.233,12.785,12.691,,-0.1,0.788,0.865,,,5290,,
K03310.01,Candidate,,0.11,20.5512897,2017,2016-12-28,,13.321,12.297,11.953,11.855,,0.1,0.986,0.894,,,5624,,
K03312.01,Candidate,,0.18,18.0939472,2017,2016-12-28,,15.537,14.563,14.202,14.156,,-0.24,0.955,0.864,,,5903,,
K03313.01,Candidate,,2.762,34.9525184,2017,2016-12-28,,14.415,13.216,12.657,12.598,,0.3,0.855,0.782,,,4916,,
K03318.01,Candidate,,0.281,13.8354142,2017,2016-12-28,,15.592,14.521,14.175,14.039,,-0.06,1.035,1.056,,,6031,,
K03318.02,Candidate,,0.319,25.6973403,2017,2016-12-28,,15.592,14.521,14.175,14.039,,-0.06,1.035,1.056,,,6031,,
K03319.01,Candidate,,0.15,19.5906167,2017,2016-12-28,,14.804,13.845,13.497,13.458,,-0.06,1.019,0.976,,,5973,,
K03320.01,Candidate,,437.13,85.06239161,2017,2016-12-28,,15.623,14.435,13.974,13.835,,0.34,0.923,0.875,,,5223,,
K03323.01,Candidate,,0.122,14.319638,2017,2016-12-28,,14.842,13.876,13.499,13.453,,-0.06,0.989,0.898,,,5810,,
K03329.01,Candidate,,0.164,12.6875322,2017,2016-12-28,,15.622,14.645,14.347,14.308,,-0.14,1.088,1.031,,,6241,,
K03334.01,Candidate,,2.536,95.17831669,2017,2016-12-28,,13.977,12.545,11.972,11.841,,-0.24,0.641,0.653,,,4523,,
K03335.01,Candidate,,0.217,31.2548347,2017,2016-12-28,,15.631,14.756,14.298,14.365,,0.14,1.195,1.145,,,6215,,
K03337.01,Candidate,,0.155,11.1662508,2017,2016-12-28,,15.663,14.6,14.075,14.106,,-0.04,0.922,0.839,,,5547,,
K03339.01,Candidate,,0.219,23.13345,2017,2016-12-28,,14.413,13.331,12.965,12.901,,-0.52,0.763,0.932,,,5712,,
K03340.01,Candidate,,0.077,8.9539813,2017,2016-12-28,,13.609,12.722,12.454,12.403,,-0.5,0.925,0.947,,,6168,,
K03340.02,Candidate,,0.089,13.7280953,2017,2016-12-28,,13.609,12.722,12.454,12.403,,-0.5,0.925,0.947,,,6168,,
K03341.01,Candidate,,0.141,27.0968975,2017,2016-12-28,,14.692,13.75,13.465,13.394,,0,1.113,1.11,,,6202,,
K03341.02,Candidate,,0.117,11.5474155,2017,2016-12-28,,14.692,13.75,13.465,13.394,,0,1.113,1.11,,,6202,,
K03343.01,Candidate,,0.23,83.266321,2017,2016-12-28,,14.759,13.733,13.41,13.334,,-0.1,1.027,0.956,,,5996,,
K03344.01,Candidate,,0.13,11.6044694,2017,2016-12-28,,15.043,14.037,13.69,13.604,,-0.66,0.794,0.848,,,5881,,
K03344.03,Candidate,,0.184,208.55037,2017,2016-12-28,,15.043,14.037,13.69,13.604,,-0.66,0.794,0.848,,,5881,,
K03347.01,Candidate,,0.131,12.90237151,2017,2016-12-28,,15.234,14.106,13.683,13.509,,-0.22,0.862,0.796,,,5534,,
K03348.02,Candidate,,0.145,17.7192432,2017,2016-12-28,,15.022,14.027,13.709,13.621,,0.1,1.118,1.147,,,6057,,
K03354.01,Candidate,,0.128,11.5706098,2017,2016-12-28,,14.858,13.704,13.326,13.227,,-0.2,0.89,0.9,,,5718,,
K03355.01,Candidate,,0.141,16.2953209,2017,2016-12-28,,14.927,13.932,13.605,13.523,,-0.24,1.007,1.013,,,6187,,
K03357.01,Candidate,,2.588,52.80275769,2017,2016-12-28,,14.964,13.931,13.587,13.534,,-0.24,0.918,0.894,,,5830,,
K03358.01,Candidate,,0.341,10.1040384,2017,2016-12-28,,13.792,12.727,12.32,12.295,,-0.14,0.867,0.845,,,5529,,
K03367.01,Candidate,,0.179,25.3734282,2017,2016-12-28,,14.865,13.881,13.541,13.524,,-0.3,0.998,0.966,,,6195,,
K03368.01,Candidate,,0.141,10.08536606,2017,2016-12-28,,14.684,13.701,13.339,13.284,,-0.12,1,0.945,,,5947,,
K03370.01,Candidate,,0.139,24.352254,2017,2016-12-28,,14.43,13.181,12.696,12.603,,0.08,0.765,0.795,,,4922,,
K03371.01,Candidate,,0.0937,58.1266033,2017,2016-12-28,,13.506,12.441,12.034,11.996,,-0.66,0.708,0.685,,,5356,,
K03372.01,Candidate,,0.224,26.7575859,2017,2016-12-28,,15.236,14.268,13.968,13.885,,-0.08,1.096,1.035,,,6197,,
K03374.02,Candidate,,0.129,34.1082415,2017,2016-12-28,,14.272,13.397,13.12,13.077,,-0.28,1.069,1.013,,,6328,,
K03375.01,Candidate,,0.252,47.0564621,2017,2016-12-28,,15.454,14.421,14.063,14.053,,-0.16,0.967,0.924,,,5889,,
K03377.01,Candidate,,0.0946,10.01003165,2017,2016-12-28,,14.876,13.493,12.89,12.763,,-1.04,0.507,0.508,,,4339,,
K03383.01,Candidate,,0.208,37.8869482,2017,2016-12-28,,15.588,14.559,14.038,14.022,,-0.16,0.868,0.818,,,5513,,
K03384.01,Candidate,,0.103,10.54842565,2017,2016-12-28,,13.008,12.022,11.757,11.724,,0.04,1.074,1.09,,,6053,,
K03385.01,Candidate,,8.109,54.06132616,2017,2016-12-28,,14.978,13.918,13.605,13.508,,-0.08,0.937,1.112,,,5786,,
